0	30	0	0	30	0
0	30	0	0	30	0
0	30	0	0	30	0
0	50	0	0	50	0
0	80	0	0	80	0
0	110	0	0	110	0
0	144	0	0	144	0
0	144	0	0	144	0
0	144	0	0	144	0
0	144	0	0	144	0
1	139.8933333	-36.96	1	148.1066667	-36.96
2	135.7866667	-73.92	2	152.2133333	-73.92
3	131.68	-110.88	3	156.32	-110.88
4	127.5733333	-147.84	4	160.4266667	-147.84
5	123.4666667	-184.8	5	164.5333333	-184.8
4	127.5733333	-147.84	4	160.4266667	-147.84
3	131.68	-110.88	3	156.32	-110.88
2	135.7866667	-73.92	2	152.2133333	-73.92
1	139.8933333	-36.96	1	148.1066667	-36.96
0	144	0	0	144	0
-1	148.1066667	36.96	-1	139.8933333	36.96
-2	152.2133333	73.92	-2	135.7866667	73.92
-3	156.32	110.88	-3	131.68	110.88
-4	160.4266667	147.84	-4	127.5733333	147.84
-5	164.5333333	184.8	-5	123.4666667	184.8
-4	160.4266667	147.84	-4	127.5733333	147.84
-3	156.32	110.88	-3	131.68	110.88
-2	152.2133333	73.92	-2	135.7866667	73.92
-1	148.1066667	36.96	-1	139.8933333	36.96
0	144	0	0	144	0
1	139.8933333	-36.96	1	148.1066667	-36.96
2	135.7866667	-73.92	2	152.2133333	-73.92
3	131.68	-110.88	3	156.32	-110.88
4	127.5733333	-147.84	4	160.4266667	-147.84
5	123.4666667	-184.8	5	164.5333333	-184.8
4	127.5733333	-147.84	4	160.4266667	-147.84
3	131.68	-110.88	3	156.32	-110.88
2	135.7866667	-73.92	2	152.2133333	-73.92
1	139.8933333	-36.96	1	148.1066667	-36.96
0	144	0	0	144	0
-1	148.1066667	36.96	-1	139.8933333	36.96
-2	152.2133333	73.92	-2	135.7866667	73.92
-3	156.32	110.88	-3	131.68	110.88
-4	160.4266667	147.84	-4	127.5733333	147.84
-5	164.5333333	184.8	-5	123.4666667	184.8
-4	160.4266667	147.84	-4	127.5733333	147.84
-3	156.32	110.88	-3	131.68	110.88
-2	152.2133333	73.92	-2	135.7866667	73.92
-1	148.1066667	36.96	-1	139.8933333	36.96
0	144	0	0	144	0
2	135.7866667	-73.92	2	152.2133333	-73.92
4	127.5733333	-147.84	4	160.4266667	-147.84
6	119.36	-221.76	6	168.64	-221.76
8	111.1466667	-295.68	8	176.8533333	-295.68
10	102.9333333	-369.6	10	185.0666667	-369.6
8	111.1466667	-295.68	8	176.8533333	-295.68
6	119.36	-221.76	6	168.64	-221.76
4	127.5733333	-147.84	4	160.4266667	-147.84
2	135.7866667	-73.92	2	152.2133333	-73.92
0	144	0	0	144	0
-2	152.2133333	73.92	-2	135.7866667	73.92
-4	160.4266667	147.84	-4	127.5733333	147.84
-6	168.64	221.76	-6	119.36	221.76
-8	176.8533333	295.68	-8	111.1466667	295.68
-10	185.0666667	369.6	-10	102.9333333	369.6
-8	176.8533333	295.68	-8	111.1466667	295.68
-6	168.64	221.76	-6	119.36	221.76
-4	160.4266667	147.84	-4	127.5733333	147.84
-2	152.2133333	73.92	-2	135.7866667	73.92
0	144	0	0	144	0
2	135.7866667	-73.92	2	152.2133333	-73.92
4	127.5733333	-147.84	4	160.4266667	-147.84
6	119.36	-221.76	6	168.64	-221.76
8	111.1466667	-295.68	8	176.8533333	-295.68
10	102.9333333	-369.6	10	185.0666667	-369.6
8	111.1466667	-295.68	8	176.8533333	-295.68
6	119.36	-221.76	6	168.64	-221.76
4	127.5733333	-147.84	4	160.4266667	-147.84
